"public_slug","title","banner","product_count","products","search_tags","h1","meta_title","meta_description","intro_text","seo_notes","indexable","status"
"dr-stone","Dr. Stone","images/tag-banners/dr-stone.jpg","1","drstone_1: Гобелен Dr. STONE (Сэнку — обложка Weekly Shonen Jump, научный шонен)","dr. stone | senku | senku ishigami | доктор стоун | сэнку | сэнку исигами","Гобелены Dr. Stone","Гобелены Dr. Stone — Сэнку и научный шонен","Гобелены Dr. Stone с Сэнку и журнальной эстетикой научного шонена для стены, комнаты, рабочего места и подарка.","Dr. Stone выделяется среди шоненов тем, что делает науку частью приключения. Здесь важны не только битвы, но и идеи, изобретения, любопытство и ощущение, что мир можно собрать заново с нуля. Гобелен по этой серии хорошо смотрится в комнате, где ценят умный, светлый и немного авантюрный вайб.

В подборке WAGICH представлен Сэнку в обложечной эстетике Weekly Shonen Jump. Такой настенный декор можно повесить над рабочим столом, рядом с книгами, техникой или учебной зоной — он не выглядит случайно и поддерживает атмосферу движения к знаниям.

Гобелен Dr. Stone подойдёт фанату научного шонена, человеку, которому близка тема изобретений, или как подарок без излишней мрачности и агрессии.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"evangelion","Evangelion","images/tag-banners/evangelion.jpg","1","eva_1: Гобелен Evangelion (Аска и Ева)","asuka | evangelion | shin seiki evangelion | аска | евангелион","Гобелены Evangelion","Гобелены Evangelion — культовый аниме-декор","Гобелены Evangelion с Аской и Евой для стены, фанатского интерьера, сетапа и подарка поклоннику классики аниме.","Evangelion — это серия, которую любят не только за меха и бои, но и за тревожную атмосферу, символы, цветовые контрасты и ощущение внутреннего напряжения. Гобелен по этой вселенной может стать спокойным, но очень узнаваемым акцентом в комнате фаната.

В подборке WAGICH представлен сюжет с Аской и Евой. Такой настенный декор хорошо вписывается в интерьер с аниме-постерами, минималистичной мебелью, рабочим сетапом или полкой с коллекцией. Он добавляет комнате характер, но не требует перегружать пространство деталями.

Гобелен Evangelion подойдёт тем, кто любит классику аниме, психологические истории и визуальный стиль, который считывается даже спустя годы. Это хороший вариант для подарка поклоннику Евы и старой школы японской анимации.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"fullmetal-alchemist","Fullmetal Alchemist","images/tag-banners/fullmetal-alchemist.jpg","1","fma_1: Гобелен Fullmetal Alchemist (Эдвард Элрик — обложка Gangan, стальной кулак)","edward elric | fullmetal alchemist | hagane no renkinjutsushi | стальной алхимик | эдвард элрик","Гобелены Fullmetal Alchemist","Гобелены Fullmetal Alchemist — Эдвард Элрик","Гобелены Fullmetal Alchemist с Эдвардом Элриком и манга-обложечной эстетикой для стены, комнаты и подарка фанату.","Fullmetal Alchemist — история про цену выбора, братство, ответственность и желание вернуть утраченное. Визуально она сочетает приключенческий шонен, индустриальные детали и сильную драму, поэтому гобелен по этой серии хорошо работает как тёплый, но не слишком лёгкий акцент на стене.

В подборке WAGICH представлен Эдвард Элрик в духе обложки Gangan, со стальным кулаком и узнаваемой манга-энергией. Такой настенный декор можно разместить в комнате фаната, возле рабочего места, книжной полки или зоны с мангой.

Гобелен Fullmetal Alchemist подойдёт тем, кто любит аниме с глубоким сюжетом и сильными персонажами. Он смотрится как часть личной истории фаната, а не просто украшение ради украшения.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"hunter-x-hunter","Hunter x Hunter","images/tag-banners/hunter-x-hunter.jpg","2","hxh_1: Гобелен Hunter × Hunter (Гон и Киллуа) | hxh_2: Гобелен Hunter x Hunter (HxH — Гон и Киллуа, Курапика и Леорио, яркий постер)","gon | hunter x hunter | killua | kurapika | leorio | гон | киллуа | курапика | леорио | хантер х хантер","Гобелены Hunter x Hunter","Гобелены Hunter x Hunter — Гон, Киллуа и друзья","Гобелены Hunter x Hunter с Гоном, Киллуа, Курапикой и Леорио для стены, комнаты фаната, сетапа и подарка.","Hunter x Hunter кажется приключенческим аниме, но быстро становится историей про выбор, дружбу, испытания и очень разные характеры. Гобелены по этой серии хорошо подходят для комнаты, где хочется сохранить ощущение яркого путешествия, но без чрезмерной декоративности.

В категории WAGICH есть сюжеты с Гоном, Киллуа, Курапикой и Леорио — от более камерных парных композиций до насыщенного постерного визуала. Такой аниме-гобелен можно повесить над столом, кроватью, диваном или рядом с полкой манги.

Hunter x Hunter — хороший выбор для фаната, которому важны не только бои, но и отношения между персонажами. Гобелен подойдёт как личный настенный декор или подарок человеку, который давно любит эту вселенную.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"jojo","JoJo's Bizarre Adventure","images/tag-banners/jojo.jpg","3","jojo_2: Гобелен JoJo’s Bizarre Adventure — DIO vs JOJO | jojo_3: Гобелен JoJo’s Bizarre Adventure (Джотаро и Джолин) | jojo_4: Гобелен JoJo’s Bizarre Adventure (Джайро Цеппели)","dio | gyro zeppeli | jojo | jojo no kimyou na bouken | jojo's bizarre adventure | jotaro | джайро цеппели | джоджо | джотаро | дио","Гобелены JoJo’s Bizarre Adventure","Гобелены JoJo — стильный декор с характером","Гобелены JoJo’s Bizarre Adventure с DIO, Джотаро, Джолин и Джайро для выразительной стены, сетапа и подарка фанату.","JoJo’s Bizarre Adventure невозможно спутать с другим аниме: позы, контрасты, мода, абсурд, драматичность и ощущение, что каждый кадр уже готов стать постером. Гобелены JoJo хорошо подходят для интерьера, где декор должен быть не фоном, а заявлением.

В подборке WAGICH есть DIO, JOJO, Джотаро, Джолин и Джайро Цеппели. Такие работы можно повесить в комнате фаната, игровой зоне, студии или рядом с коллекцией манги и фигурок. Они добавляют пространству театральности и узнаваемого визуального ритма.

Гобелен JoJo — выбор для тех, кто любит смелый стиль и не боится яркого акцента на стене. Это также удачный подарок человеку, который цитирует JoJo без предупреждения.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"jujutsu-kaisen","Jujutsu Kaisen","images/tag-banners/jujutsu-kaisen.jpg","6","jjk_2: Гобелен Jujutsu Kaisen (Сатору Годзё) | jjk_3: Гобелен Jujutsu Kaisen (Кровь и проклятие) | jjk_4: Гобелен Jujutsu Kaisen (Сукуна с черепом) | jjk_5: Гобелен Jujutsu Kaisen (Тодзи Фусигуро) | jjk_6: Гобелен Jujutsu Kaisen 0 (Юта и Итадори, премиум-арт) | jjk_7: Гобелен Jujutsu Kaisen (Годжо — красный)","gojo | jujutsu kaisen | sukuna | toji | yuji itadori | yuta okkotsu | годзё | магическая битва | сукуна | тодзи | юдзи | юта","Гобелены Jujutsu Kaisen","Гобелены Jujutsu Kaisen — Годзё, Сукуна, Тодзи","Гобелены Jujutsu Kaisen с Годзё, Сукуной, Тодзи, Ютой и Юдзи для стены, фанатского интерьера и подарка.","Jujutsu Kaisen сочетает городскую мрачность, проклятия, резкие бои и очень сильный дизайн персонажей. Поэтому гобелены по этой серии хорошо работают как настенный декор для комнаты, где хочется добавить энергии, контраста и современного аниме-вайба.

В подборке WAGICH есть Годзё, Сукуна, Тодзи, Юта, Юдзи и более тёмные композиции с кровью, черепами и красными акцентами. Такой гобелен можно использовать как центральный элемент над столом, кроватью, диваном или в зоне с постерами и коллекцией.

Категория Jujutsu Kaisen подойдёт тем, кто любит зрелищные бои, харизматичных персонажей и визуал с напряжением. Это понятный подарок фанату «Магической битвы» и хороший способ собрать аниме-зону вокруг одной сильной работы.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"my-hero-academia","My Hero Academia","images/tag-banners/my-hero-academia.jpg","1","mha_1: Гобелен My Hero Academia (Деку — Weekly Shonen Jump, зелёный вайб героев)","boku no hero academia | deku | izuku midoriya | my hero academia | деку | идзуку мидория | моя геройская академия","Гобелены My Hero Academia","Гобелены My Hero Academia — декор с Деку","Гобелены My Hero Academia с Деку и геройской шонен-энергией для стены, комнаты фаната, сетапа и подарка.","My Hero Academia — это история про взросление, силу характера и желание стать героем не только на словах. Гобелен по этой серии добавляет комнате светлую, мотивирующую шонен-энергию и хорошо смотрится там, где хочется визуального напоминания о движении вперёд.

В подборке WAGICH представлен Деку в эстетике Weekly Shonen Jump, с зелёным вайбом и обложечным настроением. Такой настенный декор можно разместить над рабочим столом, у кровати, в игровой зоне или рядом с коллекцией по любимым аниме.

Гобелен My Hero Academia подойдёт фанату Идзуку Мидории и всем, кому близки истории про упорство, команду и личный рост. Это спокойный, но заметный подарок для комнаты поклонника современной шонен-классики.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"naruto","Naruto","images/tag-banners/naruto.jpg","7","naruto_1: Гобелен Naruto (Итачи и ворон) | naruto_2: Гобелен Naruto (Наруто против Саске) | naruto_3: Гобелен Naruto (Пейн ч/б) | naruto_4: Гобелен Naruto (Наруто, Саске и Сакура) | naruto_5: Гобелен Naruto (Итачи × Саске — обложка Jump Comics, клан Учиха) | naruto_6: Гобелен Naruto (Итачи Учиха — тень Учиха и алый гендзюцу) | naruto_7: Гобелен Naruto (Акацуки — облака, стильный паттерн, аниме декор на стену)","akatsuki | itachi | Jump Comics | naruto | pain | sakura | sasuke | акацуки | Гамабунта | гендзюцу | итачи | Манда | наруто | саске | шаринган","Гобелены Naruto","Гобелены Naruto — Итачи, Саске, Акацуки","Гобелены Naruto с Итачи, Саске, Наруто, Пейном и Акацуки для стены, фанатского интерьера, сетапа и подарка.","Naruto — одна из тех вселенных, которые становятся частью личной истории фаната: первые арки, любимые команды, клан Учиха, Акацуки, Пейн, Наруто и Саске. Гобелены по этой серии хорошо работают как настенный декор, потому что сразу создают узнаваемую аниме-зону.

В подборке WAGICH есть Итачи с вороном, противостояние Наруто и Саске, Пейн в чёрно-белой эстетике, команда 7 и паттерны Акацуки. Такой гобелен можно повесить над кроватью, рабочим столом, диваном или рядом с полкой манги и фигурок.

Категория Naruto подойдёт тем, кто хочет не просто украсить стену, а собрать вокруг неё кусок любимой истории. Это хороший вариант для подарка фанату классического шонена, Учих и мира шиноби.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"one-piece","One Piece","images/tag-banners/one-piece.jpg","3","onepiece_1: Гобелен One Piece (Луффи, Ло и Кид) | onepiece_2: Гобелен One Piece (Луффи и Зоро — вперёд к приключениям) | onepiece_4: Гобелен One Piece (Луффи — корона, золото, сундуки, топ для сетапа и аниме зоны)","eustass kid | luffy | one piece | trafalgar law | zoro | ван пис | зоро | луффи | трафальгар ло | юстасс кид","Гобелены One Piece","Гобелены One Piece — Луффи, Зоро, Ло и Кид","Гобелены One Piece с Луффи, Зоро, Ло и Кидом для стены, комнаты фаната, игровой зоны и подарка поклоннику приключений.","One Piece — это приключение, которое держится на свободе, дружбе, мечте и огромном мире. Гобелены по этой серии хорошо добавляют интерьеру чувство движения: будто на стене не просто персонажи, а часть большого путешествия за горизонтом.

В категории WAGICH есть Луффи, Зоро, Трафальгар Ло, Юстасс Кид, сундуки, золото и яркие композиции для аниме-зоны. Такой настенный декор можно разместить над диваном, кроватью, рабочим столом или рядом с коллекцией манги.

Гобелен One Piece подойдёт фанату, который любит приключенческий вайб, пиратскую эстетику и персонажей с сильной мечтой. Это хороший подарок человеку, для которого «Ван Пис» — не просто тайтл, а длинная история, к которой хочется возвращаться.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"one-punch-man","One Punch Man","images/tag-banners/one-punch-man.jpg","1","opm_1: Гобелен One Punch Man (Сайтама — обложка Shonen Jump, No.08, удар)","one punch man | saitama | ванпанчмен | сайтама","Гобелены One Punch Man","Гобелены One Punch Man — декор с Сайтамой","Гобелены One Punch Man с Сайтамой и обложечной шонен-эстетикой для стены, фанатской комнаты, сетапа и подарка.","One Punch Man строится на простом, но очень цепком контрасте: герой, который выглядит спокойно, и сила, способная решить всё одним ударом. Гобелен с Сайтамой добавляет комнате ироничный, узнаваемый и при этом достаточно лаконичный аниме-акцент.

В подборке WAGICH представлен Сайтама в духе обложки Shonen Jump, с энергией удара и классическим постерным настроением. Такой настенный декор можно повесить возле рабочего места, в игровой зоне, над кроватью или рядом с другими аниме-принтами.

Гобелен One Punch Man подойдёт фанату, который любит юмор, супергеройскую пародию и стиль без лишнего пафоса. Это хороший вариант подарка для человека, который ценит аниме с характером и лёгкой самоиронией.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
"sailor-moon","Sailor Moon","images/tag-banners/sailor-moon.jpg","1","sailormoon_1: Гобелен Sailor Moon (Anime Style 2020)","bishoujo senshi sailor moon | sailor moon | usagi tsukino | сейлор мун | усаги","Гобелены Sailor Moon","Гобелены Sailor Moon — нежный аниме-декор","Гобелены Sailor Moon с Усаги и классической магической эстетикой для стены, уютной комнаты, фанатского интерьера и подарка.","Sailor Moon — это классика, в которой есть магия, дружба, романтика и особая мягкая эстетика девяностых. Гобелен по этой серии хорошо подходит для интерьера, где хочется добавить не агрессию и контраст, а светлый, немного ностальгический аниме-настрой.

В подборке WAGICH представлен визуал Sailor Moon с узнаваемой стилистикой magical girl. Такой настенный декор можно повесить в спальне, уютной зоне, возле зеркала, рабочего стола или рядом с другими вещами в пастельной и фанатской эстетике.

Гобелен Sailor Moon подойдёт тем, кто любит старую аниме-классику, образ Усаги и атмосферу мягкой силы. Это приятный подарок поклоннику серии и способ сделать комнату более личной, тёплой и узнаваемой.","Пиши для страницы категории аниме-гобеленов WAGICH. Не обещай наличие, скидки, доставку или оригинальную лицензию. Без переспама. Meta title до 60 символов, meta description до 160, intro_text 500-900 символов.","true","draft"
